rigId,name,profitability,powerusage_1,powerusage_2,powerusage_3,powerusage_4,powerusage_5,powerusage_6,totalpowerusage,status,totalDevices,activeDevices
0-BcBfcyVrlU29GfM6uyRVlw,Saleh3,0.00045504000000000003,-1.0,73.0,73.0,85.0,76.0,75.0,381.0,MINING,6,6
0-6rN5JGOVDkCjaRy379aKow,Adrian1,0.00023616,-1.0,73.0,76.0,80.0,71.0,78.0,377.0,MINING,6,6
0-P6ceqve9l0eaImNsJKHLPQ,Adrian6,0.00042335999999999996,-1.0,99.0,102.0,103.0,103.0,95.0,501.0,MINING,6,6
0-lgPVwLhcX0aQX6fALFQyKg,Saleh4,0.0,,,,,,,0.0,OFFLINE,0,0
0-DaTez0ZIP0CScukASRMcKQ,Saleh5,0.00048096,-1.0,101.0,104.0,97.0,96.0,96.0,493.0,MINING,6,6
0-sTX6GiNMcEe7q6uQKe4p-Q,Adrian2,0.00043775999999999993,-1.0,98.0,102.0,92.0,104.0,99.0,494.0,MINING,5,5
0-7w6MAyMhTkCtleLpzcgUdA,Saleh1,0.0003772800000000001,-1.0,124.0,94.0,77.0,77.0,77.0,448.0,MINING,6,6
0-Jf4mMKtxaEiE2OPmiFa07A,Saleh6,0.00050112,-1.0,103.0,105.0,103.0,101.0,95.0,506.0,MINING,6,6
0-7Cag4DJrHkKRA-gRoB9CyA,Saleh2,0.00034559999999999994,-1.0,76.0,83.0,77.0,69.0,78.0,382.0,MINING,6,6
0-dzp5SuJnGUChUbftJR1u7w,Adrian3,0.00048096,-1.0,105.0,99.0,110.0,102.0,96.0,511.0,MINING,6,6
0--gxXYbpBgkCJaX1UFmN2jA,Adrian5,0.00033696,-1.0,105.0,102.0,102.0,94.0,105.0,507.0,MINING,6,6
0-nVT0vrLqeEi1xHrRCmD42Q,Adrian4,0.0006537600000000001,-1.0,110.0,99.0,99.0,108.0,107.0,522.0,MINING,6,6
